"","Bank","Country","BANK.Code","Tier 1 Capital","Test 1","Test 2"
"57","NOVA KREDITNA BANKA MARIBOR D.D. (NKBM d.d.) ","Slovenia","SI058",7.4,5.9,8
"58","CAJA DE AHORROS DEL MEDITERRAÅLNEO","Spain","ES083",3.8,-2.8,3
"59","BANCO PASTOR, S.A.","Spain","ES074",7.6,3.3,3.3
"60","GRUPO CAJA3","Spain","ES078",8.6,4,4
"61","CAIXA D'ESTALVIS UNIO DE CAIXES DE MANLLEU, SABADELL I TERRASSA","Spain","ES076",6.3,1.2,4.5
"62","CAIXA D'ESTALVIS DE CATALUNYA, TARRAGONA I MANRESA","Spain","ES066",6.4,1.4,4.8
"63","CAIXA DE AFORROS DE GALICIA, VIGO, OURENSE E PONTEVEDRA","Spain","ES067",5.2,0.6,5.3
"64","BANCO POPULAR ESPANOL, S.A.","Spain","ES064",7.1,5.2,5.3
"65","BANKINTER, S.A.","Spain","ES069",6.2,5.3,5.3
"66","BFA-BANKIA","Spain","ES061",6.9,4,5.4
"67","GRUPO BANCA CIVICA","Spain","ES071",8,3.8,5.6
"68","CAJA DE AHORROS Y M.P. DE ONTINYENT","Spain","ES081",8.9,5.6,5.6
"69","BANCO DE SABADELL, S.A.","Spain","ES065",6.2,5,5.7
"70","GRUPO BMN","Spain","ES068",8.3,4.5,6.1
"71","COLONYA - CAIXA D'ESTALVIS DE POLLENSA","Spain","ES082",11.2,6.2,6.2
"72","CAJA DE AHORROS Y PENSIONES DE BARCELONA","Spain","ES062",6.8,6,6.4
"73","CAJA DE AHORROS Y M.P. DE ZARAGOZA, ARAGON Y RIOJA","Spain","ES072",9.7,6.7,6.7
"74","EFFIBANK","Spain","ES063",8.3,5.2,6.8
"75","CAJA ESPANA DE INVERSIONES, SALAMANCA Y SORIA, CAJA DE AHORROS Y MONTE DE PIEDAD","Spain","ES070",8.2,5.5,7.3
"76","BANCO SANTANDER S.A.","Spain","ES059",7.1,8.4,8.4
"77","CAJA DE AHORROS DE VITORIA Y ALAVA","Spain","ES080",12.5,8.7,8.7
"78","GRUPO BBK","Spain","ES075",10.2,8.8,8.8
"79","BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA)","Spain","ES060",8,9.2,9.2
"80","MONTE DE PIEDAD Y CAJA DE AHORROS DE RONDA, CADIZ, ALMERIA, MALAGA, ANTEQUERA Y JAEN","Spain","ES073",12.5,9.4,9.4
"81","CAJA DE AHORROS Y M.P. DE GIPUZKOA Y SAN SEBASTIAN","Spain","ES077",13.2,10.1,10.1
"82","BANCA MARCH, S.A.","Spain","ES079",22.2,23.5,23.5
"83","SVENSKA HANDELSBANKEN AB (PUBL) ","Sweden","SE086",7.7,8.6,8.6
"84","SWEDBANK AB (PUBL)","Sweden","SE087",8.7,9.4,9.4
"85","NORDEA BANK AB (PUBL)","Sweden","SE084",8.9,9.5,9.5
"86","SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) (SEB)","Sweden","SE085",11.1,10.5,10.5
"87","ROYAL BANK OF SCOTLAND GROUP plc","UK","GB088",9.7,6.3,6.3
"88","BARCLAYS plc","UK","GB090",10,7.3,7.3
"89","LLOYDS BANKING GROUP plc","UK","GB091",10.2,7.7,7.7
"90","HSBC HOLDINGS plc","UK","GB089",10.5,8.5,8.5
"91","","","",NA,NA,NA
"92","(*) Results of the stress recognising capital issuance and mandatory restructuring plans publicly announced and fully committed before 31 December 2010
(**) Results of the stress test recognising capital issuances and mandatory restructuring plans publicly announced and fully committed before 30 April 2011.","","",NA,NA,NA
